Name|Category|Description|Price, 
Awesome Avocado|Omellet|Eggs and Cheese Ommelette with avocado red peppers and turkey bacon|15.10,
Veggie Delight|Omellet|Eggs and Cheese Ommelette with tomatoes peppers and onion|10.30,                                                            
Lean &Green|Omellet|Eggs andcheese with spinach|13.00,                                                               
Chicken Fajita|Fajita|Fajita with chicken red peppers and cheese|10.00,                                                          
Jump start sandwich|Sandwich|Sandwich with lettuce cheese and bacon|13.50,
The Healthier English|Combo|Beans eggs and sausage|12.00,                                                       
The Happy American|Combo|Eggs bacon cheese and sausage|14.50,                                                       
Pancakes|Pancakes|Buttermilk Pancakes|11.50,  
Parfait|Yoghurt|Plain Yoghurt with oats|5.50,
Tea|Hot Tea|Green or black Tea|1.00,
Juice|Freshly squezeed juice|Orange or grapefruit juice|2.00,
Coffee|Freshly brewed coffe|Dark Roasted Coffee|1.25,
Mineral Water|Mineral Water|Mineral Water in a bottle|2.25, Mineral Water|Mineral Water|Mineral Water|2.25,
